cas	vrednost	ekstrem
16.12.2014 05:10:00	258.7	MAX
16.12.2014 12:20:00	226.4	MIN
16.12.2014 19:20:00	254.3	VV2
16.12.2014 22:10:00	227.2	NV2
17.12.2014 06:00:00	265.9	MAX
17.12.2014 13:40:00	205.3	MIN
17.12.2014 19:10:00	253.1	VV2
18.12.2014 00:30:00	222.9	NV2
18.12.2014 06:20:00	279.3	MAX
18.12.2014 13:40:00	180	MIN
18.12.2014 20:10:00	253	VV2
19.12.2014 01:10:00	213	NV2
19.12.2014 07:10:00	279.9	MAX
19.12.2014 14:00:00	173.8	MIN
19.12.2014 20:20:00	260.2	VV2
20.12.2014 01:40:00	218.3	NV2
20.12.2014 07:40:00	281.6	MAX
20.12.2014 14:30:00	161.8	MIN
20.12.2014 21:30:00	266.1	VV2
21.12.2014 02:20:00	216	NV2
21.12.2014 08:10:00	276.3	MAX
21.12.2014 15:50:00	146.8	MIN
21.12.2014 21:50:00	268.4	VV2
22.12.2014 03:10:00	201.6	NV2
22.12.2014 08:50:00	272	MAX
22.12.2014 15:40:00	148.1	MIN
22.12.2014 22:20:00	266	VV2
23.12.2014 04:10:00	199.7	NV2
23.12.2014 09:30:00	267.6	MAX
23.12.2014 16:30:00	148.3	MIN
23.12.2014 23:10:00	262.1	VV2
24.12.2014 05:00:00	197.5	NV2
24.12.2014 10:30:00	260.5	MAX
24.12.2014 17:00:00	151.9	MIN
24.12.2014 23:40:00	260.4	VV2
25.12.2014 05:30:00	194.5	NV2
25.12.2014 11:00:00	256.5	MAX
25.12.2014 17:00:00	159.9	MIN
26.12.2014 00:10:00	254.8	MAX
26.12.2014 05:50:00	201.6	NV2
26.12.2014 10:30:00	238.9	VV2
26.12.2014 18:20:00	158	MIN
27.12.2014 01:20:00	248.3	VV2
27.12.2014 06:50:00	206.7	NV2
27.12.2014 12:50:00	251.5	MAX
27.12.2014 18:10:00	205.1	MIN
28.12.2014 01:00:00	277.7	MAX
28.12.2014 09:00:00	198.7	NV2
28.12.2014 11:10:00	208.7	VV2
28.12.2014 15:20:00	194.2	MIN
29.12.2014 02:40:00	251.7	MAX
29.12.2014 10:50:00	172.2	MIN
29.12.2014 17:30:00	249.2	VV2
29.12.2014 23:30:00	203.5	NV2
30.12.2014 04:30:00	235.6	MAX
30.12.2014 10:50:00	170.2	MIN
30.12.2014 16:30:00	226.5	VV2
30.12.2014 23:10:00	181.9	NV2
31.12.2014 04:50:00	229.3	MAX
31.12.2014 12:50:00	176.7	MIN
01.01.2015 01:00:00	177	MIN
01.01.2015 08:00:00	234.2	MAX
01.01.2015 14:40:00	182.7	NV2
01.01.2015 19:10:00	231.9	VV2
02.01.2015 02:00:00	180.7	NV2
02.01.2015 08:30:00	255.9	MAX
02.01.2015 14:20:00	153.1	MIN
02.01.2015 20:10:00	239.9	VV2
03.01.2015 01:30:00	193.8	NV2
03.01.2015 08:00:00	273.3	MAX
03.01.2015 15:10:00	154.7	MIN
03.01.2015 21:40:00	250.5	VV2
04.01.2015 02:10:00	213.8	NV2
04.01.2015 07:30:00	281	MAX
04.01.2015 15:50:00	133.3	MIN
04.01.2015 22:20:00	245.2	VV2
05.01.2015 03:20:00	196.4	NV2
05.01.2015 08:50:00	243.7	VV2
05.01.2015 16:00:00	127.1	MIN
05.01.2015 22:20:00	260.4	MAX
06.01.2015 04:10:00	188.7	NV2
06.01.2015 09:20:00	248.3	VV2
06.01.2015 15:40:00	143.2	MIN
06.01.2015 22:40:00	259	MAX
07.01.2015 04:30:00	191.3	NV2
07.01.2015 10:00:00	246.8	VV2
07.01.2015 16:40:00	157.7	MIN
07.01.2015 23:00:00	253.9	MAX
08.01.2015 05:00:00	194.4	NV2
08.01.2015 10:20:00	248.1	VV2
08.01.2015 17:30:00	161.2	MIN
08.01.2015 23:30:00	248.7	MAX
09.01.2015 05:20:00	187.8	NV2
09.01.2015 10:40:00	246.1	MAX
09.01.2015 17:30:00	161.2	MIN
10.01.2015 00:00:00	253.2	MAX
10.01.2015 05:30:00	197.5	NV2
